Date,Open,High,Low,Close,Adj Close,Volume
1999-01-06,4.800000,5.000000,4.600000,4.700000,3.044035,424616
1999-01-07,4.950000,4.950000,4.600000,4.850000,3.141186,323750
1999-01-08,5.000000,5.600000,5.000000,5.150000,3.335486,651759
1999-01-11,5.150000,5.500000,5.050000,5.300000,3.432636,214282
1999-01-12,5.300000,5.600000,5.300000,5.300000,3.432636,321269
1999-01-13,5.050000,5.050000,4.700000,5.000000,3.238336,7059669
1999-01-14,5.000000,5.200000,4.750000,4.750000,3.076419,2064810
1999-01-15,4.750000,4.750000,4.550000,4.700000,3.044035,106561
1999-01-18,4.900000,4.900000,4.500000,4.700000,3.044035,148928
1999-01-19,4.700000,4.700000,4.550000,4.650000,3.011653,193635
1999-01-20,4.650000,4.750000,4.500000,4.600000,2.979269,369628
1999-01-21,4.750000,4.800000,4.650000,4.800000,3.108803,55820
1999-01-22,4.800000,4.800000,4.550000,4.700000,3.044035,61265
1999-01-25,4.550000,4.700000,4.500000,4.650000,3.011653,94048
1999-01-26,4.650000,4.650000,4.500000,4.650000,3.011653,149825
1999-01-27,4.800000,4.900000,4.700000,4.800000,3.108803,76597
1999-01-28,4.800000,4.850000,4.700000,4.800000,3.108803,64760
1999-01-29,4.800000,4.900000,4.600000,4.900000,3.173569,72552
1999-02-01,4.900000,4.900000,4.700000,4.800000,3.108803,28100
1999-02-02,4.800000,4.800000,4.700000,4.700000,3.044035,18838
1999-02-03,4.700000,4.850000,4.650000,4.800000,3.108803,173415
1999-02-04,4.800000,5.000000,4.750000,4.900000,3.173569,822294
1999-02-05,4.700000,4.800000,4.700000,4.800000,3.108803,15046
1999-02-08,4.800000,4.800000,4.650000,4.800000,3.108803,21183
1999-02-09,4.800000,4.800000,4.650000,4.700000,3.044035,23570
1999-02-10,4.700000,4.800000,4.600000,4.650000,3.011653,107806
1999-02-11,4.650000,4.650000,4.550000,4.650000,3.011653,13133
1999-02-12,4.650000,4.800000,4.600000,4.600000,2.979269,52002
1999-02-15,4.800000,4.850000,4.700000,4.800000,3.108803,17975
1999-02-16,4.800000,4.850000,4.800000,4.800000,3.108803,43545
1999-02-17,4.800000,4.850000,4.650000,4.650000,3.011653,13285
1999-02-18,4.800000,4.800000,4.700000,4.800000,3.108803,6847
1999-02-19,4.800000,4.850000,4.800000,4.800000,3.108803,24235
